path,class,label
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox72.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox39.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox14.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox21.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox75.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox103.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox81.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox53.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox29.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox25.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox42.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox40.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox97.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox17.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox3.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox71.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox61.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox59.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox90.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox76.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox24.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox4.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox51.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox68.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox7.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox82.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox96.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox15.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox67.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox105.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox31.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox101.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox99.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox60.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox30.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox49.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox57.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles14.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles6.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles40.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles2.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles54.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles20.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles78.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles74.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles85.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles31.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles38.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles59.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles24.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles32.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles57.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles77.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles73.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles15.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles89.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles63.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles26.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles37.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles47.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles86.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles64.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles60.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles17.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles4.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles36.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles12.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles45.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles27.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles82.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles90.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles34.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles16.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles76.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles35.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles69.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles22.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles61.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles41.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles87.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles80.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles84.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles75.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles5.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles11.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles53.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles62.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles18.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles68.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles29.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles3.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles43.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles65.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles50.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles33.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles52.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles49.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles42.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles88.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles51.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles10.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles66.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles13.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles55.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles9.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles23.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles1.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles30.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles70.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles48.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles67.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles25.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles56.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles71.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles44.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles28.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles19.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles58.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles21.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles72.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles83.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles7.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles39.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles79.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles46.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles8.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Measles/measles81.png,Measles,2
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox54.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox233.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox181.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox53.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox87.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox252.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox78.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox112.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox19.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox93.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox76.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox260.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox172.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox66.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox30.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox211.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox210.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox180.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox186.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox246.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox176.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox91.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox127.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox99.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox137.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox4.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox196.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox124.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox155.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox86.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox156.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox162.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox119.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox131.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox208.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox239.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox237.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox190.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox278.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox154.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox160.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox150.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox8.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox203.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox256.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox259.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox266.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox202.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox262.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox243.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox37.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox59.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox231.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox226.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox169.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox265.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox40.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox182.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox39.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox55.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox145.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox65.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox89.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox230.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox114.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox94.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox79.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox167.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox120.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox111.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox261.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox133.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox253.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox24.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox178.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox264.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox108.png,Monkeypox,0
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Monkeypox/monkeypox5.png,Monkeypox,0
